match_id,home_goals,away_goals,home_shots,away_shots,home_yellow,away_yellow,home_red,away_red
366,2,0,9,20,1,0,0,0
367,1,2,16,10,6,3,0,0
368,3,2,25,18,1,0,0,0
369,4,2,14,12,1,2,0,0
370,3,1,12,8,1,3,1,1
371,2,0,20,3,0,2,0,0
372,0,2,13,20,0,0,0,0
373,1,3,14,10,1,1,0,0
374,1,1,14,8,1,0,1,0
375,2,0,25,6,2,2,0,1
376,0,1,17,14,1,4,0,0
377,0,1,10,6,2,2,0,0
378,1,2,7,23,0,0,0,0
379,1,4,4,23,3,1,0,0
380,1,1,18,13,2,1,0,0
381,1,1,7,9,4,1,0,0
382,1,1,19,13,2,0,0,0
383,2,1,6,10,3,2,0,0
384,2,2,13,16,0,0,0,0
385,1,1,16,10,3,2,0,0
386,1,2,6,18,2,3,0,0
387,1,1,12,13,1,0,0,1
388,1,2,11,12,2,4,0,0
389,1,0,12,10,2,2,0,0
390,2,2,8,10,1,3,0,0
391,3,1,7,13,3,0,0,0
392,1,2,15,6,3,5,0,0
393,2,1,13,9,4,5,0,0
394,0,1,13,8,2,2,0,0
395,0,0,12,3,1,2,0,0
396,1,0,15,11,2,1,0,0
397,0,0,3,13,1,4,1,0
398,3,0,11,13,1,3,0,0
399,2,1,10,10,1,1,0,0
400,3,0,17,8,1,1,0,0
401,4,3,22,18,4,3,0,0
402,0,0,12,16,0,1,0,1
403,1,2,8,22,3,1,0,0
404,1,0,13,2,1,3,0,0
405,0,0,24,8,0,2,0,0
406,1,2,8,12,4,4,1,0
407,0,0,12,8,1,5,0,0
408,4,0,10,1,0,0,0,0
409,1,1,7,25,0,2,0,0
410,0,1,8,9,3,1,0,0
411,7,0,23,5,0,3,0,0
412,2,1,10,17,3,2,0,0
413,0,1,4,12,1,3,0,0
414,1,1,22,9,3,5,0,1
415,2,0,15,12,3,0,0,0
416,0,0,16,1,1,1,0,0
417,3,2,10,12,2,0,0,1
418,2,0,20,12,2,0,0,0
419,0,2,16,11,3,2,0,0
420,2,0,14,3,1,2,0,0
421,3,2,9,19,2,3,0,0
422,1,2,10,21,3,3,1,0
423,1,0,10,15,3,4,1,0
424,0,2,11,16,4,1,0,0
425,3,0,14,5,1,2,0,0
426,3,1,14,6,3,5,0,1
427,1,4,9,20,3,2,0,1
428,2,3,15,9,1,2,0,1
429,3,1,17,5,3,2,0,0
430,1,0,10,13,1,1,0,0
431,2,1,18,15,3,5,0,0
432,0,2,14,10,3,0,0,0
433,2,1,10,8,1,4,0,0
434,2,1,13,11,2,5,0,0
435,4,1,31,10,4,3,0,0
436,2,0,7,8,3,2,0,0
437,0,0,15,14,4,4,0,0
438,3,1,10,11,3,2,0,0
439,1,1,12,6,3,2,0,0
440,1,1,15,10,0,0,0,0
441,1,5,13,17,6,1,0,0
442,1,2,14,6,3,2,0,0
443,3,2,10,12,4,0,0,0
444,2,1,22,8,5,4,1,0
445,0,0,10,9,2,3,0,0
446,1,0,16,7,1,1,0,0
447,0,0,11,2,3,4,0,0
448,0,1,9,7,2,2,0,0
449,1,2,11,15,5,3,0,0
450,1,1,8,14,4,2,0,0
451,1,2,11,14,3,2,0,0
452,2,0,14,9,3,6,0,0
453,4,2,11,12,2,2,0,0
454,3,0,11,9,0,0,0,0
455,1,1,15,13,2,1,0,0
456,1,1,13,13,0,3,1,0
457,1,1,12,12,3,1,1,0
458,1,0,20,8,2,4,0,0
459,1,1,12,9,1,0,0,0
460,3,1,17,7,0,3,0,0
461,0,0,8,6,2,2,0,0
462,2,1,8,11,1,5,0,0
463,1,1,11,6,2,4,0,0
464,0,1,24,8,3,8,0,2
465,2,0,11,10,0,1,0,0
466,1,2,13,17,4,2,0,0
467,0,3,11,14,2,2,0,0
468,2,1,14,13,4,3,0,1
469,1,0,14,11,6,3,1,0
470,1,1,16,4,0,2,0,0
471,2,3,10,12,6,2,1,0
472,4,1,10,5,2,3,0,0
473,1,2,13,10,2,1,0,0
474,0,1,8,14,2,1,0,0
475,1,2,19,11,2,1,0,1
476,3,1,24,5,5,1,0,0
477,5,1,21,7,1,2,0,0
478,1,0,19,10,1,1,0,0
479,1,1,10,21,4,3,0,0
480,2,3,14,11,4,9,1,0
481,0,2,16,6,2,0,0,0
482,1,0,12,8,4,5,0,1
483,0,4,9,15,2,5,0,0
484,1,2,7,21,4,3,0,0
485,1,0,16,15,2,4,1,0
486,1,0,24,10,3,2,0,0
487,1,1,15,2,3,7,0,0
488,3,0,7,18,2,2,0,0
489,0,2,19,10,3,4,0,0
490,0,0,4,20,5,1,1,0
491,1,0,13,7,3,2,0,0
492,4,3,15,8,2,4,0,0
493,1,0,20,7,1,5,0,0
494,1,1,17,7,0,0,0,0
495,2,0,15,1,1,1,0,0
496,3,1,14,10,0,3,0,0
497,0,2,8,9,2,1,0,0
498,1,0,10,10,1,4,0,1
499,1,3,35,11,1,3,0,0
500,1,0,8,13,2,1,0,1
501,4,0,18,2,0,2,0,0
502,3,0,13,9,1,3,0,0
503,2,2,19,3,3,0,0,0
504,0,1,8,3,3,3,0,0
505,0,1,12,9,1,3,0,0
506,1,0,14,11,3,1,0,0
507,1,1,6,17,4,4,0,0
508,2,0,12,6,3,2,0,0
509,2,1,11,4,3,3,0,0
510,2,2,15,9,5,5,0,1
511,4,1,12,9,0,3,0,0
512,2,3,14,10,4,2,0,1
513,4,2,11,7,4,2,0,0
