player_id,matches_played,starts,minutes_played,goals,assists,yellow_cards,red_cards
1770,12,5,451,0,0,2,0
1771,5,0,58,1,0,0,0
1772,30,11,1252,5,0,3,0
1773,36,30,2755,1,2,5,0
1774,2,0,22,0,0,0,0
1775,35,32,2714,6,1,5,0
1776,30,17,1590,0,3,1,0
1777,9,3,242,0,0,1,0
1778,32,26,2099,0,0,8,0
1779,7,0,112,0,0,0,0
1780,6,1,113,0,0,1,0
1781,36,36,3240,0,0,0,0
1782,10,3,366,0,1,0,0
1783,16,13,1099,5,0,5,0
1784,26,6,907,0,0,5,0
1785,32,29,2568,2,7,4,1
1786,24,21,1727,0,0,4,0
1787,15,11,955,0,1,2,0
1788,17,6,721,3,2,0,0
1789,4,2,144,0,0,0,0
1790,1,1,45,0,0,0,0
1791,31,23,2021,3,2,5,0
1792,16,8,741,0,0,1,0
1793,33,22,2132,1,1,9,1
1794,23,15,1338,0,0,7,0
1795,22,15,1208,0,2,1,0
1796,33,26,2341,4,5,2,0
1797,33,31,2751,1,1,10,0
1798,6,0,84,0,0,1,0
1799,37,37,3319,1,0,6,0
1800,35,12,1375,5,1,4,0
1801,5,5,441,0,0,2,0
1802,31,24,2104,5,2,3,0
1803,14,10,946,0,0,3,0
1804,22,13,1039,0,1,2,0
1805,11,2,204,2,1,0,0
1806,16,1,347,1,0,2,0
1807,17,8,622,1,0,3,0
1808,25,20,1849,0,1,7,0
1809,24,12,1045,0,1,2,0
1810,1,0,28,0,0,0,0
1811,7,1,151,0,0,0,0
1812,22,14,1190,0,1,4,0
1813,15,10,899,1,0,4,0
1814,9,8,753,0,0,0,0
1815,33,33,2939,0,0,0,0
1816,6,5,475,0,0,0,0
1817,30,12,1225,1,4,3,0
1818,24,24,2017,2,1,6,1
1819,14,12,1078,2,1,0,0
1820,19,19,1692,4,2,5,0
1821,31,8,964,8,1,1,0
1822,21,13,1098,0,0,5,0
1823,21,18,1415,3,0,3,0
1824,37,37,3228,4,5,10,0
1825,23,4,610,0,1,2,0
1826,35,28,2588,1,3,5,0
1827,2,0,36,0,0,0,0
1828,18,18,1620,0,0,1,0
1829,36,36,3188,2,0,6,0
1830,29,24,2058,7,2,1,2
1831,35,31,2360,8,12,4,0
1832,1,0,3,0,0,0,0
1833,29,19,1571,0,2,5,0
1834,25,21,1798,12,2,3,0
1835,9,0,168,0,0,0,0
1836,10,3,386,1,1,0,0
1837,1,1,90,0,0,0,0
1838,2,2,180,0,0,0,0
1839,6,0,127,0,0,0,0
1840,11,11,952,1,2,1,1
1841,8,2,296,0,0,0,0
1842,32,32,2607,1,4,7,0
1843,35,35,3082,1,2,4,0
1844,28,25,2188,3,4,6,0
1845,38,38,3420,0,1,2,0
